Date,Nume_Sectie,Latitudine,Longitudine,PM2.5,PM10,CO,NO,NO2,NOx,O3,RADIATIE_SOLARA,SO2,TEMPERATURA,UMIDITATE
7/15/2023,B-26,44.4992561,26.1354294,9.262173913,12.09,,,,,,,,,
7/16/2023,B-26,44.4992561,26.1354294,10.14217391,13.83,,,,,,,,,
7/17/2023,B-26,44.4992561,26.1354294,12.30347826,18.26,,,,,,,,,
7/18/2023,B-26,44.4992561,26.1354294,11.5626087,18.45,,,,,,,,,
7/19/2023,B-26,44.4992561,26.1354294,10.51391304,16.68,,,,,,,,,
7/20/2023,B-26,44.4992561,26.1354294,12.52521739,19.03,,,,,,,,,
7/21/2023,B-26,44.4992561,26.1354294,9.73173913,13.12,,,,,,,,,
7/22/2023,B-26,44.4992561,26.1354294,7.054347826,9.95,,,,,,,,,
7/23/2023,B-26,44.4992561,26.1354294,7.442608696,8.87,,,,,,,,,
7/24/2023,B-26,44.4992561,26.1354294,9.717391304,12.72,,,,,,,,,
7/25/2023,B-26,44.4992561,26.1354294,14.98043478,22.65,,,,,,,,,
7/26/2023,B-26,44.4992561,26.1354294,16.3726087,27.6,,,,,,,,,
7/27/2023,B-26,44.4992561,26.1354294,6.266956522,7.99,,,,,,,,,
7/28/2023,B-26,44.4992561,26.1354294,6.048695652,8.64,,,,,,,,,
7/29/2023,B-26,44.4992561,26.1354294,8.756086957,11.49,,,,,,,,,
7/30/2023,B-26,44.4992561,26.1354294,10.76826087,12.48,,,,,,,,,
7/31/2023,B-26,44.4992561,26.1354294,9.36173913,10.67,,,,,,,,,
8/1/2023,B-26,44.4992561,26.1354294,8.286086957,10.14,,,,,,,,,
8/2/2023,B-26,44.4992561,26.1354294,10.58521739,13.49,,,,,,,,,
8/3/2023,B-26,44.4992561,26.1354294,12.21478261,15.22,,,,,,,,,
8/4/2023,B-26,44.4992561,26.1354294,13.99565217,17.6,,,,,,,,,
8/5/2023,B-26,44.4992561,26.1354294,9.415217391,11.88,,,,,,,,,
8/6/2023,B-26,44.4992561,26.1354294,11.22347826,13.98,,,,,,,,,
8/7/2023,B-26,44.4992561,26.1354294,4.012173913,6.04,,,,,,,,,
8/8/2023,B-26,44.4992561,26.1354294,4.894347826,6.58,,,,,,,,,
8/9/2023,B-26,44.4992561,26.1354294,5.000869565,6.95,,,,,,,,,
8/10/2023,B-26,44.4992561,26.1354294,7.03,9.68,,,,,,,,,
8/11/2023,B-26,44.4992561,26.1354294,7.943478261,10.75,,,,,,,,,
8/12/2023,B-26,44.4992561,26.1354294,9.469130435,12.05,,,,,,,,,
8/13/2023,B-26,44.4992561,26.1354294,9.952173913,12.21,,,,,,,,,
8/14/2023,B-26,44.4992561,26.1354294,9.039130435,11.92,,,,,,,,,
8/15/2023,B-26,44.4992561,26.1354294,13.31652174,17.83,,,,,,,,,
8/16/2023,B-26,44.4992561,26.1354294,11.90391304,16.68,,,,,,,,,
8/17/2023,B-26,44.4992561,26.1354294,11.00521739,16.23,,,,,,,,,
8/18/2023,B-26,44.4992561,26.1354294,13.49565217,20.14,,,,,,,,,
8/19/2023,B-26,44.4992561,26.1354294,12.0073913,16.62,,,,,,,,,
